PACKAGE OF 590W PANELS(SINGLE PHASE),,,,,,,,,,,,PACKAGE OF 620W PANELS(SINGLE PHASE),,,,,,,,,,,,PACKAGE OF 650W PANELS(SINGLE PHASE),,,,,,,
NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Price,,,,,NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Price,,,,,NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Price
11,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 11 PCS 590W,"11 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM23,845.00 ",,,,,10,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 10 PCS 620W,"10X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM21,494.00 ",,,,,10,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 10 PCS 650W,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM22,195.00 "
12,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 12 PCS 590W,"12 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM24,864.00 ",,,,,11,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 11 PCS 620W,"11X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM24,208.00 ",,,,,11,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 11 PCS 650W,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM24,975.00 "
13,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 13 PCS 590W,"13 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM26,053.00 ",,,,,12,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 12 PCS 620W,"12X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM25,260.00 ",,,,,12,5,1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 12 PCS 650W,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 5KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM26,100.00 "
14,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 14 PCS 590W,"14 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM27,718.00 ",,,,,13,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 13 PCS 620W,"13X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM26,482.00 ",,,,,13,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 13 PCS 650W,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM27,390.00 "
15,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 15 PCS 590W,"15 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM28,713.00 ",,,,,14,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 14 PCS 620W,"14X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM27,930.00 ",,,,,14,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 14 PCS 650W,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM28,910.00 "
16,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 16 PCS 590W,"16 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM30,166.00 ",,,,,15,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 15 PCS 620W,"15X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM28,958.00 ",,,,,15,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 15 PCS 650W,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM30,010.00 "
17,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 17 PCS 590W,"17 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM31,179.00 ",,,,,16,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 16 PCS 620W,"16X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM30,694.00 ",,,,,16,6,1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 16 PCS 650W,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 6KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM31,820.00 "
18,8,1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter,590 Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial,[1P]  HYBIRD SAJ JINKO 18 PCS 590W,"18 X Jinko Tiger Neo N-type 72HL4-BDV TOPCon | Bi-Facial (590W)
1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM33,397.00 ",,,,,17,8,1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 17 PCS 620W,"17X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM32,710.00 ",,,,,17,8,1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 17 PCS 650W,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM33,900.00 "
,,,,,,,,,,,,18,8,1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter,620W Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  ,[1P] HYBIRD SAJ JINKO 18 PCS 620W,"18X Jinko Tiger Neo N-type 66HL4M-BDV TOPCon | Bi-Facial  (620W)
1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP SOLAR Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM33,991.00 ",,,,,18,8,1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] HYBIRD SAJ JINKO 18 PCS 650W,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ H2 8KW SINGLE PHASE Hybird Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM35,250.00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
